network,country,country_code,continent,continent_code,asn,as_name,as_domain,type
2001:470:d:10b3::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:d:12d9::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:19:4::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:19:a43::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:19:cc7::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:19:1133::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:24:c9::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:24:49f::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:24:4c5::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:24:510::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:36:22d::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:36:1043::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:36:125e::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:36:12f8::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:1f0b:265::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:1f29:21a::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:482d::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:72e3::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:8325::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:8825::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:f39a:980::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:f5b7:980::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:f674::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:f700::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:f802::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:f873:980::/64,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
2001:470:f87e::/48,Iran,IR,Asia,AS,AS6939,Hurricane Electric LLC,he.net,global_cdn_edge
